INTERVAL;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
18:45;0;0;0;0.118243058907795;0.161692114107507;0.190417695594065;0.184515978299235;0.153077590886119;0.0633337648524326;0;0;0
19:00;0;0;0;0.0940433045072233;0.136509202141532;0.164643188577082;0.159117475835065;0.126366240045716;0.0415277625053413;0;0;0
19:15;0;0;0;0.0714775552162475;0.112642140987604;0.139933884875379;0.134762319745893;0.101164523520248;0.0217715982242601;0;0;0
19:30;0;0;0;0.0507949412302476;0.0903328974489236;0.116529066642415;0.111692057885448;0.0777431038160783;0.00429632568773012;0;0;0
19:45;0;0;0;0.0322227930396453;0.0698074917296388;0.0946553755203309;0.09013543901775;0.0563529275131901;0;0;0;0
20:00;0;0;0;0.0159640366132697;0.0512736872597705;0.0745246165164316;0.0703061354721986;0.0372224650720679;0;0;0;0
20:15;0;0;0;0.0021948683161384;0.0349188671260913;0.0563317056444407;0.052400615894707;0.0205551978916412;0;0;0;0
20:30;0;0;0;0;0.0209081188143284;0.0402527812175653;0.0365961892730639;0.00652738026151189;0;0;0;0
20:45;0;0;0;0;0.00938254683888656;0.0264434970946657;0.0230492397095695;0;0;0;0;0
21:00;0;0;0;0;0.00045783050699865;0.0150375144177157;0.0118936695149644;0;0;0;0;0
21:15;0;0;0;0;0;0.00614520645539237;0.00323956612369713;0;0;0;0;0
21:30;0;0;0;0;0;0;0;0;0;0;0;0
21:45;0;0;0;0;0;0;0;0;0;0;0;0
22:00;0;0;0;0;0;0;0;0;0;0;0;0
22:15;0;0;0;0;0;0;0;0;0;0;0;0
22:30;0;0;0;0;0;0;0;0;0;0;0;0
22:45;0;0;0;0;0;0;0;0;0;0;0;0
23:00;0;0;0;0;0;0;0;0;0;0;0;0
23:15;0;0;0;0;0;0;0;0;0;0;0;0
23:30;0;0;0;0;0;0;0;0;0;0;0;0
23:45;0;0;0;0;0;0;0;0;0;0;0;0
