INTERVAL;POWER(W)
2019-01-04T07:15;15.0
2019-01-04T07:30;20.0
2019-01-04T07:45;20.0
2019-01-04T08:00;25.0
2019-01-04T08:15;25.0
2019-01-04T08:30;25.0
2019-01-04T08:45;25.0
2019-01-04T09:00;25.0
2019-01-04T09:15;25.0
2019-01-04T09:30;25.0
2019-01-04T09:45;25.0
2019-01-04T10:00;25.0
2019-01-04T10:15;25.0
2019-01-04T10:30;25.0
2019-01-04T10:45;25.0
2019-01-04T11:00;25.0
2019-01-04T11:15;25.0
2019-01-04T11:30;25.0
2019-01-04T11:45;25.0
2019-01-04T12:00;25.0
2019-01-04T12:15;25.0
2019-01-04T12:30;25.0
2019-01-04T12:45;25.0
2019-01-04T13:00;25.0
2019-01-04T13:15;25.0
2019-01-04T13:30;25.0
2019-01-04T13:45;25.0
2019-01-04T14:00;20.0
2019-01-04T14:15;20.0
2019-01-04T14:30;20.0
2019-01-04T14:45;20.0
2019-01-04T15:00;20.0
2019-01-04T15:15;20.0
2019-01-04T15:30;20.0
2019-01-04T15:45;20.0
2019-01-04T16:00;15.0
2019-01-04T16:15;15.0
2019-01-04T16:30;15.0
2019-01-04T16:45;15.0
2019-01-04T17:00;15.0
2019-01-04T17:15;15.0
2019-01-04T17:30;15.0
2019-01-04T17:45;15.0
2019-01-04T18:00;15.0
2019-01-04T18:15;15.0
2019-01-04T18:30;15.0
2019-01-04T18:45;15.0
2019-01-04T19:00;15.0
2019-01-04T19:15;10.0
2019-01-04T19:30;10.0
2019-01-04T19:45;10.0
2019-01-04T20:00;10.0
2019-01-04T20:15;10.0
2019-01-04T20:30;10.0
2019-01-04T20:45;10.0
2019-01-04T21:00;10.0
2019-01-04T21:15;10.0
2019-01-04T21:30;10.0
2019-01-04T21:45;10.0
2019-01-04T22:00;10.0
2019-01-04T22:15;10.0
2019-01-04T22:30;10.0
2019-01-04T22:45;10.0
2019-01-04T23:00;10.0
2019-01-04T23:15;10.0
2019-01-04T23:30;10.0
2019-01-04T23:45;10.0
